,time(ms),a_x, a_y, a_z
,80,0.000000, -0.038462, 1.000000
,94,-0.040000, -0.038462, 1.000000
,101,-0.040000, -0.038462, 1.000000
,111,-0.040000, -0.038462, 1.000000
,121,-0.040000, -0.038462, 0.960000
,135,-0.040000, -0.038462, 0.960000
,142,-0.040000, -0.038462, 0.960000
,152,-0.040000, -0.038462, 1.000000
,166,-0.040000, 0.000000, 1.000000
,174,0.000000, 0.000000, 1.000000
,182,0.000000, 0.000000, 1.000000
,191,0.000000, 0.000000, 1.000000
,205,0.000000, 0.000000, 1.000000
,215,-0.040000, -0.038462, 1.000000
,223,-0.040000, -0.038462, 1.000000
,236,-0.040000, -0.038462, 1.000000
,246,0.000000, -0.038462, 1.000000
,254,-0.040000, -0.038462, 0.960000
,262,-0.040000, -0.038462, 0.960000
,275,-0.040000, -0.038462, 0.960000
,285,-0.040000, -0.038462, 0.960000
,295,-0.040000, -0.038462, 0.960000
,307,-0.040000, -0.038462, 0.960000
,316,0.000000, 0.000000, 1.000000
,326,-0.040000, 0.000000, 1.040000
,334,0.000000, 0.000000, 1.040000
,348,-0.040000, -0.038462, 1.000000
,355,-0.040000, -0.038462, 1.000000
,365,-0.040000, -0.038462, 1.000000
,379,-0.040000, -0.038462, 1.000000
,387,-0.040000, -0.038462, 1.000000
,396,-0.040000, -0.038462, 1.000000
,406,0.000000, -0.038462, 0.960000
,420,-0.040000, -0.038462, 0.960000
,428,-0.040000, -0.038462, 0.960000
,435,-0.040000, -0.038462, 0.960000
,451,-0.040000, -0.038462, 0.960000
,459,0.000000, -0.038462, 0.960000
,467,-0.040000, -0.038462, 0.960000
,476,0.000000, -0.038462, 0.960000
,490,-0.040000, 0.000000, 1.000000
,500,-0.040000, 0.000000, 1.000000
,508,-0.040000, 0.000000, 1.000000
,521,-0.040000, 0.000000, 1.040000
,531,-0.040000, 0.000000, 1.000000
,539,-0.040000, -0.038462, 1.000000
,547,-0.040000, -0.038462, 0.960000
,560,-0.040000, 0.000000, 0.960000
,570,-0.040000, 0.000000, 0.960000
,580,0.000000, 0.000000, 0.960000
,592,0.000000, 0.000000, 0.960000
,601,0.000000, 0.000000, 0.960000
,611,-0.040000, 0.000000, 1.000000
,619,0.000000, 0.000000, 0.960000
,633,-0.040000, 0.000000, 0.960000
,641,-0.040000, 0.000000, 0.960000
,650,-0.040000, 0.000000, 0.960000
,664,-0.040000, 0.000000, 0.920000
,672,0.000000, 0.038462, 0.920000
,682,0.000000, 0.038462, 0.920000
,689,0.000000, 0.038462, 0.960000
,703,-0.040000, 0.038462, 0.920000
,713,-0.040000, 0.038462, 0.920000
,721,0.000000, 0.038462, 0.880000
,730,0.000000, 0.076923, 0.880000
,744,0.040000, 0.115385, 0.880000
,752,0.040000, 0.115385, 0.880000
,762,0.040000, 0.153846, 0.880000
,775,0.000000, 0.153846, 0.880000
,785,0.000000, 0.192308, 0.920000
,793,0.000000, 0.192308, 0.960000
,801,0.000000, 0.230769, 0.960000
,814,0.000000, 0.269231, 1.000000
,824,-0.040000, 0.269231, 1.040000
,832,0.000000, 0.307692, 1.040000
,846,0.000000, 0.269231, 1.040000
,855,0.000000, 0.307692, 1.040000
,865,0.000000, 0.307692, 1.080000
,877,0.000000, 0.307692, 1.040000
,887,0.000000, 0.346154, 1.000000
,894,-0.040000, 0.307692, 1.000000
,904,-0.040000, 0.307692, 0.960000
,918,-0.040000, 0.307692, 0.920000
,926,-0.040000, 0.346154, 0.880000
,935,0.000000, 0.346154, 0.880000
,949,-0.040000, 0.384615, 0.840000
,957,-0.040000, 0.423077, 0.880000
,967,-0.040000, 0.461538, 0.920000
,975,0.000000, 0.461538, 0.960000
,990,0.040000, 0.461538, 0.960000
,998,0.040000, 0.461538, 0.920000
,1006,0.000000, 0.423077, 0.920000
,1021,0.000000, 0.423077, 0.920000
,1031,0.000000, 0.423077, 0.880000
,1039,-0.040000, 0.423077, 0.880000
,1047,-0.040000, 0.423077, 0.840000
,1060,-0.040000, 0.423077, 0.840000
,1070,0.000000, 0.461538, 0.840000
,1080,-0.040000, 0.461538, 0.880000
,1088,0.000000, 0.461538, 0.840000
,1101,-0.040000, 0.461538, 0.840000
,1109,0.000000, 0.500000, 0.880000
,1119,0.000000, 0.500000, 0.880000
,1133,0.040000, 0.500000, 0.880000
,1141,0.000000, 0.500000, 0.880000
,1150,0.000000, 0.500000, 0.840000
,1160,0.000000, 0.500000, 0.840000
,1172,-0.040000, 0.538462, 0.880000
,1182,0.000000, 0.538462, 0.880000
,1189,0.040000, 0.538462, 0.880000
,1205,0.000000, 0.538462, 0.880000
,1213,0.000000, 0.538462, 0.800000
,1221,0.000000, 0.500000, 0.800000
,1232,0.040000, 0.500000, 0.760000
,1242,0.000000, 0.500000, 0.760000
,1252,0.000000, 0.538462, 0.760000
,1262,0.000000, 0.576923, 0.800000
,1281,0.040000, 0.615385, 0.880000
,1283,0.080000, 0.615385, 0.920000
,1295,0.040000, 0.615385, 0.920000
,1305,0.000000, 0.576923, 0.880000
,1312,0.000000, 0.576923, 0.840000
,1322,0.000000, 0.576923, 0.840000
,1336,0.000000, 0.538462, 0.800000
,1344,0.000000, 0.538462, 0.760000
,1351,-0.040000, 0.538462, 0.760000
,1367,0.080000, 0.846154, 1.240000
,1375,0.000000, 0.500000, 0.720000
,1385,0.000000, 0.692308, 0.960000
,1396,0.000000, 0.692308, 0.960000
,1406,0.040000, 0.653846, 0.880000
,1416,0.040000, 0.615385, 0.800000
,1424,0.080000, 0.615385, 0.800000
,1437,0.040000, 0.576923, 0.800000
,1447,0.000000, 0.576923, 0.800000
,1455,0.000000, 0.576923, 0.840000
,1469,0.000000, 0.576923, 0.800000
,1476,0.040000, 0.576923, 0.800000
,1486,0.040000, 0.576923, 0.800000
,1496,0.040000, 0.576923, 0.760000
,1510,0.000000, 0.576923, 0.760000
,1517,0.000000, 0.538462, 0.800000
,1525,0.000000, 0.576923, 0.800000
,1541,0.000000, 0.576923, 0.840000
,1549,0.000000, 0.576923, 0.840000
,1557,0.000000, 0.538462, 0.800000
,1566,0.000000, 0.538462, 0.760000
,1580,0.000000, 0.653846, 0.880000
,1590,0.040000, 0.538462, 0.760000
,1598,0.000000, 0.615385, 0.920000
,1611,0.000000, 0.576923, 0.720000
,1621,0.040000, 0.576923, 0.760000
,1629,0.000000, 0.615385, 0.840000
,1637,0.000000, 0.576923, 0.880000
,1650,0.000000, 0.576923, 0.840000
,1660,0.000000, 0.576923, 0.840000
,1670,0.000000, 0.576923, 0.800000
,1682,0.000000, 0.576923, 0.800000
,1691,0.000000, 0.576923, 0.800000
,1701,0.040000, 0.576923, 0.800000
,1709,0.000000, 0.576923, 0.800000
,1723,0.040000, 0.576923, 0.800000
,1730,0.000000, 0.576923, 0.800000
,1740,0.000000, 0.576923, 0.800000
,1750,0.000000, 0.538462, 0.840000
,1762,0.000000, 0.538462, 0.840000
,1771,0.000000, 0.576923, 0.840000
,1781,0.000000, 0.576923, 0.800000
,1795,0.000000, 0.576923, 0.800000
,1803,0.000000, 0.576923, 0.800000
,1810,0.000000, 0.538462, 0.800000
,1820,0.000000, 0.538462, 0.800000
,1834,0.000000, 0.576923, 0.800000
,1842,0.000000, 0.576923, 0.840000
,1851,-0.040000, 0.538462, 0.840000
,1865,0.000000, 0.576923, 0.800000
,1875,0.000000, 0.576923, 0.800000
,1883,0.040000, 0.576923, 0.800000
,1891,0.000000, 0.576923, 0.800000
,1906,0.000000, 0.576923, 0.800000
,1914,0.000000, 0.576923, 0.800000
,1922,0.000000, 0.576923, 0.840000
,1935,-0.040000, 0.538462, 0.840000
,1945,-0.040000, 0.538462, 0.840000
,1955,-0.040000, 0.538462, 0.840000
,1963,-0.040000, 0.576923, 0.880000
,1976,0.000000, 0.576923, 0.840000
,1986,0.000000, 0.576923, 0.840000
,1994,0.000000, 0.576923, 0.840000
,2008,0.000000, 0.538462, 0.800000
,2014,0.000000, 0.576923, 0.840000
,2021,0.000000, 0.576923, 0.840000
,2037,0.040000, 0.576923, 0.880000
,2045,0.000000, 0.538462, 0.880000
,2055,-0.040000, 0.538462, 0.880000
,2066,-0.040000, 0.538462, 0.840000
,2076,-0.040000, 0.500000, 0.800000
,2086,-0.040000, 0.500000, 0.800000
,2100,-0.040000, 0.500000, 0.800000
,2107,-0.040000, 0.500000, 0.800000
,2117,-0.040000, 0.538462, 0.840000
,2125,-0.040000, 0.538462, 0.880000
,2139,0.000000, 0.576923, 0.920000
,2146,0.040000, 0.538462, 0.960000
,2156,0.000000, 0.538462, 1.000000
,2170,0.000000, 0.500000, 1.000000
,2180,0.000000, 0.500000, 1.000000
,2187,0.000000, 0.500000, 1.000000
,2201,0.000000, 0.461538, 1.000000
,2211,-0.040000, 0.461538, 1.000000
,2219,-0.040000, 0.423077, 1.000000
,2226,-0.040000, 0.384615, 0.920000
,2242,-0.080000, 0.346154, 0.880000
,2250,-0.080000, 0.346154, 0.840000
,2260,-0.040000, 0.307692, 0.800000
,2271,-0.040000, 0.307692, 0.840000
,2281,-0.040000, 0.269231, 0.840000
,2291,-0.040000, 0.230769, 0.880000
,2299,0.000000, 0.230769, 0.960000
,2312,0.000000, 0.230769, 1.000000
,2322,0.000000, 0.230769, 1.040000
,2330,-0.040000, 0.230769, 1.040000
,2344,-0.040000, 0.192308, 1.040000
,2351,-0.040000, 0.192308, 1.000000
,2361,-0.040000, 0.153846, 1.040000
,2371,-0.080000, 0.153846, 1.080000
,2385,-0.080000, 0.115385, 1.080000
,2392,-0.080000, 0.076923, 1.040000
,2400,-0.080000, 0.038462, 1.000000
,2416,-0.080000, 0.076923, 1.000000
,2424,-0.040000, 0.038462, 0.960000
,2432,-0.040000, 0.038462, 0.960000
,2441,0.000000, 0.000000, 0.960000
,2456,0.000000, -0.038462, 0.960000
,2464,-0.040000, -0.038462, 0.960000
,2472,-0.040000, -0.076923, 0.960000
,2485,-0.080000, -0.115385, 0.960000
,2495,-0.080000, -0.115385, 0.920000
,2505,-0.040000, -0.153846, 0.880000
,2518,-0.040000, -0.192308, 0.880000
,2530,-0.040000, -0.192308, 0.840000
,2542,0.000000, -0.153846, 0.880000
,2548,0.000000, -0.153846, 0.920000
,2559,0.040000, -0.153846, 0.920000
,2565,0.040000, -0.153846, 0.960000
,2575,0.000000, -0.192308, 1.000000
,2585,0.000000, -0.230769, 0.960000
,2597,-0.080000, -0.230769, 0.960000
,2606,-0.080000, -0.269231, 0.960000
,2616,-0.040000, -0.269231, 0.920000
,2630,-0.040000, -0.307692, 0.880000
,2638,0.000000, -0.307692, 0.880000
,2645,0.000000, -0.307692, 0.880000
,2655,0.000000, -0.269231, 0.920000
,2669,0.000000, -0.269231, 0.960000
,2677,0.000000, -0.307692, 0.960000
,2686,0.000000, -0.307692, 1.000000
,2700,-0.040000, -0.346154, 0.960000
,2710,-0.040000, -0.346154, 0.920000
,2718,0.000000, -0.346154, 0.920000
,2726,0.000000, -0.346154, 0.880000
,2741,0.000000, -0.346154, 0.840000
,2749,0.040000, -0.384615, 0.840000
,2757,0.000000, -0.384615, 0.800000
,2767,-0.040000, -0.384615, 0.840000
,2780,0.000000, -0.384615, 0.880000
,2790,0.000000, -0.346154, 0.920000
,2798,0.000000, -0.346154, 0.920000
,2811,0.000000, -0.346154, 0.920000
,2819,0.040000, -0.346154, 0.920000
,2829,0.040000, -0.346154, 0.880000
,2837,0.040000, -0.384615, 0.840000
,2851,0.040000, -0.384615, 0.800000
,2860,0.040000, -0.384615, 0.800000
,2870,0.000000, -0.384615, 0.760000
,2882,0.000000, -0.346154, 0.760000
,2892,0.000000, -0.269231, 0.840000
,2899,0.000000, -0.230769, 0.920000
,2915,0.040000, -0.192308, 0.960000
,2923,0.040000, -0.192308, 1.000000
,2931,0.000000, -0.192308, 1.040000
,2940,0.000000, -0.192308, 1.000000
,2954,-0.040000, -0.192308, 1.000000
,2962,0.000000, -0.230769, 0.960000
,2972,0.000000, -0.230769, 0.920000
,2985,0.000000, -0.230769, 0.840000
,2995,-0.040000, -0.230769, 0.800000
,3003,-0.040000, -0.230769, 0.760000
,3011,-0.040000, -0.153846, 0.760000
,3026,-0.040000, -0.153846, 0.760000
,3036,-0.080000, 0.038462, 0.920000
,3044,0.040000, 0.076923, 1.000000
,3052,0.120000, 0.076923, 1.080000
,3065,0.120000, 0.076923, 1.080000
,3075,0.080000, 0.076923, 1.080000
,3085,0.000000, 0.076923, 1.040000
,3097,-0.040000, 0.038462, 1.000000
,3106,0.000000, 0.038462, 0.920000
,3116,-0.040000, 0.038462, 0.920000
,3124,-0.040000, 0.076923, 0.880000
,3138,-0.040000, 0.115385, 0.880000
,3145,-0.040000, 0.153846, 0.880000
,3155,-0.040000, 0.192308, 0.920000
,3169,0.000000, 0.230769, 0.960000
,3177,-0.040000, 0.269231, 1.040000
,3186,-0.040000, 0.307692, 1.080000
,3194,0.040000, 0.346154, 1.120000
,3210,0.080000, 0.346154, 1.160000
,3218,0.080000, 0.346154, 1.120000
,3226,0.040000, 0.346154, 1.080000
,3241,0.000000, 0.307692, 1.000000
,3249,0.000000, 0.269231, 0.920000
,3257,-0.040000, 0.269231, 0.840000
,3267,-0.040000, 0.230769, 0.800000
,3280,-0.040000, 0.230769, 0.760000
,3290,-0.080000, 0.269231, 0.800000
,3298,-0.160000, 0.384615, 0.920000
,3311,-0.080000, 0.461538, 1.040000
,3319,0.040000, 0.461538, 1.080000
,3329,0.080000, 0.461538, 1.080000
,3337,0.080000, 0.461538, 1.040000
,3351,0.040000, 0.461538, 1.000000
,3360,-0.040000, 0.423077, 0.960000
,3370,-0.040000, 0.384615, 0.920000
,3382,-0.080000, 0.384615, 0.880000
,3392,-0.080000, 0.384615, 0.880000
,3399,-0.040000, 0.346154, 0.840000
,3409,-0.040000, 0.423077, 0.840000
,3423,-0.040000, 0.461538, 0.880000
,3431,-0.040000, 0.500000, 0.920000
,3440,0.040000, 0.500000, 0.920000
,3454,0.040000, 0.538462, 0.920000
,3462,0.040000, 0.500000, 0.920000
,3472,0.000000, 0.500000, 0.880000
,3479,0.000000, 0.461538, 0.840000
,3495,0.000000, 0.461538, 0.840000
,3503,-0.040000, 0.461538, 0.840000
,3511,-0.040000, 0.461538, 0.800000
,3524,-0.040000, 0.500000, 0.840000
,3534,0.000000, 0.538462, 0.880000
,3542,0.000000, 0.538462, 0.920000
,3552,0.040000, 0.538462, 0.880000
,3565,0.040000, 0.538462, 0.880000
,3575,0.040000, 0.538462, 0.840000
,3583,0.040000, 0.538462, 0.840000
,3597,0.040000, 0.538462, 0.880000
,3604,0.040000, 0.538462, 0.840000
,3615,0.040000, 0.500000, 0.800000
,3623,0.040000, 0.538462, 0.800000
,3637,0.040000, 0.538462, 0.800000
,3644,0.040000, 0.538462, 0.840000
,3654,0.040000, 0.576923, 0.840000
,3668,0.040000, 0.576923, 0.840000
,3676,0.080000, 0.730769, 1.000000
,3685,0.080000, 0.538462, 0.800000
,3699,0.000000, 0.538462, 0.720000
,3707,0.000000, 0.538462, 0.720000
,3717,0.040000, 0.576923, 0.800000
,3725,0.080000, 0.653846, 0.960000
,3740,0.040000, 0.576923, 0.880000
,3748,0.000000, 0.538462, 0.840000
,3756,0.000000, 0.538462, 0.840000
,3766,0.000000, 0.576923, 0.840000
,3779,0.040000, 0.576923, 0.800000
,3789,0.040000, 0.576923, 0.800000
,3801,0.040000, 0.576923, 0.800000
,3812,0.040000, 0.576923, 0.800000
,3822,0.080000, 0.576923, 0.880000
,3830,0.080000, 0.576923, 0.960000
,3842,0.040000, 0.576923, 1.040000
,3850,0.000000, 0.576923, 1.120000
,3857,-0.040000, 0.576923, 1.080000
,3871,-0.040000, 0.538462, 1.040000
,3881,-0.120000, 0.500000, 1.000000
,3889,-0.120000, 0.461538, 0.920000
,3896,-0.080000, 0.423077, 0.840000
,3912,-0.080000, 0.384615, 0.800000
,3920,-0.080000, 0.384615, 0.800000
,3930,-0.120000, 0.384615, 0.840000
,3941,-0.120000, 0.384615, 0.880000
,3951,-0.040000, 0.423077, 0.920000
,3961,-0.040000, 0.384615, 0.960000
,3969,0.040000, 0.384615, 0.960000
,3982,0.000000, 0.346154, 0.960000
,3992,0.000000, 0.307692, 0.920000
,4000,-0.040000, 0.269231, 0.920000
,4014,-0.120000, 0.230769, 0.920000
,4019,-0.160000, 0.192308, 0.920000
,4033,-0.160000, 0.192308, 0.920000
,4041,-0.120000, 0.153846, 0.960000
,4055,-0.120000, 0.153846, 0.920000
,4064,-0.080000, 0.192308, 0.920000
,4072,-0.040000, 0.192308, 0.960000
,4082,-0.040000, 0.192308, 1.000000
,4096,-0.040000, 0.153846, 1.040000
,4103,-0.040000, 0.115385, 1.040000
,4113,-0.040000, 0.115385, 1.000000
,4127,-0.040000, 0.115385, 1.000000
,4135,-0.080000, 0.076923, 1.000000
,4144,-0.080000, 0.038462, 1.000000
,4152,-0.080000, 0.000000, 1.000000
,4166,-0.120000, 0.000000, 1.000000
,4176,-0.080000, 0.000000, 1.000000
,4184,0.000000, 0.000000, 1.000000
,4197,0.040000, 0.000000, 1.000000
,4207,0.040000, 0.000000, 1.000000
,4215,-0.040000, -0.038462, 1.040000
,4225,-0.040000, -0.076923, 1.040000
,4238,-0.080000, -0.076923, 1.040000
,4246,-0.040000, -0.115385, 1.040000
,4256,-0.040000, -0.115385, 1.040000
,4269,-0.040000, -0.115385, 1.000000
,4277,0.000000, -0.153846, 0.960000
,4287,0.040000, -0.153846, 0.960000
,4295,0.040000, -0.192308, 0.920000
,4309,0.000000, -0.230769, 0.920000
,4316,-0.040000, -0.230769, 0.960000
,4326,-0.040000, -0.269231, 0.960000
,4340,-0.040000, -0.307692, 0.920000
,4350,-0.040000, -0.307692, 0.920000
,4357,-0.040000, -0.307692, 0.880000
,4367,0.000000, -0.307692, 0.840000
,4381,0.040000, -0.307692, 0.840000
,4389,0.080000, -0.307692, 0.880000
,4396,0.040000, -0.346154, 0.880000
,4412,0.000000, -0.384615, 0.880000
,4420,0.000000, -0.423077, 0.840000
,4430,0.000000, -0.461538, 0.840000
,4437,0.040000, -0.461538, 0.800000
,4451,0.040000, -0.423077, 0.800000
,4461,0.080000, -0.423077, 0.800000
,4469,0.080000, -0.423077, 0.800000
,4482,0.040000, -0.461538, 0.800000
,4492,0.040000, -0.500000, 0.760000
,4500,0.000000, -0.500000, 0.760000
,4510,0.040000, -0.500000, 0.720000
,4521,0.040000, -0.500000, 0.720000
,4531,0.040000, -0.500000, 0.760000
,4541,0.040000, -0.461538, 0.800000
,4555,0.080000, -0.423077, 0.840000
,4562,0.080000, -0.423077, 0.840000
,4572,0.080000, -0.423077, 0.880000
,4580,0.120000, -0.423077, 0.880000
,4594,0.080000, -0.423077, 0.880000
,4601,0.080000, -0.384615, 0.880000
,4611,0.080000, -0.384615, 0.840000
,4625,0.040000, -0.346154, 0.880000
,4635,0.000000, -0.346154, 0.880000
,4642,-0.040000, -0.384615, 0.880000
,4650,-0.040000, -0.384615, 0.840000
,4666,-0.040000, -0.384615, 0.840000
,4674,-0.040000, -0.384615, 0.880000
,4682,0.040000, -0.346154, 0.880000
,4697,0.040000, -0.307692, 0.920000
,4705,0.040000, -0.269231, 0.920000
,4715,0.000000, -0.269231, 0.960000
,4723,0.000000, -0.230769, 1.000000
,4736,0.040000, -0.192308, 1.040000
,4746,0.040000, -0.153846, 1.000000
,4754,0.040000, -0.153846, 0.960000
,4762,0.040000, -0.192308, 0.880000
,4775,0.000000, -0.192308, 0.800000
,4785,0.040000, -0.192308, 0.720000
,4795,0.120000, -0.153846, 0.760000
,4807,0.200000, -0.076923, 0.800000
,4816,0.120000, -0.038462, 0.840000
,4826,0.040000, 0.076923, 1.000000
,4834,-0.040000, 0.115385, 1.120000
,4848,-0.040000, 0.153846, 1.160000
,4855,-0.040000, 0.115385, 1.160000
,4865,0.000000, 0.115385, 1.120000
,4879,0.040000, 0.115385, 1.040000
,4887,0.000000, 0.076923, 0.960000
,4896,0.000000, 0.076923, 0.880000
,4910,0.000000, 0.115385, 0.800000
,4920,0.040000, 0.115385, 0.760000
,4928,0.000000, 0.153846, 0.840000
,4937,-0.040000, 0.230769, 0.920000
,4951,-0.080000, 0.307692, 1.000000
,4959,-0.040000, 0.346154, 1.040000
,4967,0.040000, 0.346154, 1.040000
,4980,0.120000, 0.346154, 1.040000
,4990,0.080000, 0.384615, 1.040000
,5000,0.040000, 0.384615, 1.000000
,5008,0.040000, 0.384615, 0.960000
,5021,0.000000, 0.384615, 1.000000
,5027,0.000000, 0.384615, 1.000000
,5041,0.000000, 0.384615, 1.000000
,5049,0.040000, 0.384615, 1.000000
,5062,0.040000, 0.384615, 0.960000
,5074,0.000000, 0.384615, 0.920000
,5082,0.040000, 0.384615, 0.880000
,5092,0.040000, 0.384615, 0.880000
,5101,0.040000, 0.423077, 0.880000
,5111,0.000000, 0.461538, 0.880000
,5121,0.040000, 0.461538, 0.880000
,5133,0.040000, 0.461538, 0.880000
,5141,0.040000, 0.461538, 0.880000
,5150,0.080000, 0.461538, 0.840000
,5164,0.040000, 0.461538, 0.840000
,5172,0.040000, 0.461538, 0.840000
,5182,0.040000, 0.461538, 0.840000
,5189,0.000000, 0.500000, 0.880000
,5205,0.040000, 0.500000, 0.920000
,5213,0.040000, 0.500000, 0.960000
,5221,0.040000, 0.500000, 0.960000
,5234,0.000000, 0.500000, 0.920000
,5244,0.000000, 0.500000, 0.880000
,5252,0.040000, 0.500000, 0.800000
,5262,0.040000, 0.500000, 0.800000
,5275,0.040000, 0.500000, 0.800000
,5285,0.040000, 0.538462, 0.800000
,5293,0.040000, 0.576923, 0.880000
,5307,0.080000, 0.576923, 0.920000
,5314,0.080000, 0.576923, 0.920000
,5324,0.040000, 0.538462, 0.880000
,5338,0.000000, 0.538462, 0.800000
,5346,0.000000, 0.500000, 0.760000
,5355,-0.040000, 0.500000, 0.760000
,5365,-0.040000, 0.538462, 0.800000
,5377,-0.040000, 0.576923, 0.840000
,5387,0.000000, 0.576923, 0.880000
,5394,0.040000, 0.576923, 0.920000
,5410,0.000000, 0.576923, 0.880000
,5418,0.000000, 0.576923, 0.840000
,5426,-0.040000, 0.538462, 0.800000
,5435,0.000000, 0.538462, 0.800000
,5449,0.000000, 0.538462, 0.760000
,5457,0.040000, 0.576923, 0.840000
,5467,-0.040000, 0.500000, 0.720000
,5480,0.000000, 0.538462, 0.760000
,5490,0.000000, 0.576923, 0.760000
,5498,-0.040000, 0.576923, 0.840000
,5506,0.000000, 0.538462, 0.760000
,5519,0.000000, 0.538462, 0.800000
,5529,0.000000, 0.538462, 0.800000
,5537,0.000000, 0.576923, 0.800000
,5551,0.000000, 0.576923, 0.800000
,5560,0.000000, 0.576923, 0.800000
,5570,0.000000, 0.576923, 0.800000
,5578,0.000000, 0.576923, 0.800000
,5592,0.040000, 0.576923, 0.880000
,5600,0.040000, 0.576923, 0.920000
,5609,0.040000, 0.576923, 0.960000
,5623,0.040000, 0.576923, 0.960000
,5631,0.040000, 0.615385, 1.040000
,5641,0.040000, 0.615385, 1.080000
,5648,0.000000, 0.576923, 1.040000
,5662,-0.040000, 0.538462, 1.000000
,5672,-0.080000, 0.500000, 0.960000
,5680,-0.120000, 0.461538, 0.920000
,5693,-0.120000, 0.461538, 0.920000
,5703,-0.080000, 0.461538, 0.920000
,5711,-0.080000, 0.423077, 0.920000
,5721,-0.040000, 0.384615, 0.920000
,5734,-0.040000, 0.346154, 0.880000
,5742,-0.040000, 0.346154, 0.880000
,5752,0.000000, 0.307692, 0.880000
,5760,0.000000, 0.307692, 0.880000
,5773,0.000000, 0.307692, 0.880000
,5783,-0.040000, 0.269231, 0.840000
,5791,-0.040000, 0.269231, 0.840000
,5805,-0.080000, 0.230769, 0.880000
,5814,-0.120000, 0.192308, 0.920000
,5822,-0.120000, 0.153846, 0.960000
,5832,-0.120000, 0.153846, 0.960000
,5846,-0.120000, 0.115385, 0.960000
,5853,-0.080000, 0.115385, 0.920000
,5863,-0.080000, 0.076923, 0.920000
,5877,-0.120000, 0.115385, 0.920000
,5885,-0.120000, 0.115385, 0.920000
,5894,-0.080000, 0.076923, 0.920000
,5902,-0.120000, 0.076923, 0.960000
,5916,-0.120000, 0.076923, 1.080000
,5926,-0.120000, 0.076923, 1.120000
,5934,-0.120000, 0.076923, 1.160000
,5947,-0.160000, 0.038462, 1.160000
,5956,-0.160000, 0.038462, 1.120000
,5966,-0.120000, 0.000000, 1.080000
,5974,-0.120000, 0.000000, 1.040000
,5987,-0.120000, 0.000000, 1.080000
,5997,-0.080000, 0.000000, 1.080000
,6005,-0.080000, 0.000000, 1.080000
,6018,-0.080000, -0.076923, 1.040000
,6028,-0.120000, -0.076923, 1.000000
,6042,-0.080000, -0.115385, 1.000000
,6058,-0.080000, -0.192308, 1.000000
,6065,-0.040000, -0.153846, 1.000000
,6081,-0.040000, -0.153846, 1.000000
,6089,0.000000, -0.153846, 1.000000
,6097,0.000000, -0.192308, 0.960000
,6106,0.040000, -0.230769, 0.920000
,6120,0.040000, -0.269231, 0.880000
,6130,0.040000, -0.269231, 0.840000
,6138,0.040000, -0.307692, 0.840000
,6151,0.080000, -0.307692, 0.840000
,6161,0.080000, -0.346154, 0.840000
,6169,0.040000, -0.384615, 0.840000
,6177,0.040000, -0.423077, 0.800000
,6192,0.000000, -0.461538, 0.800000
,6200,0.000000, -0.461538, 0.760000
,6210,0.040000, -0.423077, 0.800000
,6222,0.080000, -0.423077, 0.840000
,6231,0.080000, -0.423077, 0.800000
,6241,0.080000, -0.500000, 0.800000
,6249,0.080000, -0.538462, 0.720000
